CustomerID,Age,Gender,Tenure,MonthlyCharges,ContractType,InternetService,TotalCharges,TechSupport,Churn
52,41,Male,8,48.2,One-Year,DSL,385.6,No,Yes
401,43,Male,4,80.75,Month-to-Month,Fiber Optic,1442.88,Yes,Yes
17,43,Male,1,92.31,Month-to-Month,DSL,2198.17,No,Yes
175,47,Female,5,31.72,Two-Year,Fiber Optic,158.6,Yes,Yes
187,41,Male,17,63.5,Month-to-Month,Fiber Optic,933.66,Yes,Yes
945,63,Female,10,90.81,Two-Year,,908.1,No,Yes
9105,30,Female,24,25.62,Two-Year,DSL,614.88,No,No
970,30,Female,1,69.78,One-Year,Fiber Optic,69.78,Yes,Yes
735,55,Male,4,90.41,Month-to-Month,Fiber Optic,361.64,Yes,Yes
302,51,Male,44,49.32,Month-to-Month,,3979.96,No,Yes
848,69,Male,15,104.84,One-Year,,1572.6,No,Yes
203,39,Female,68,119.28,Two-Year,Fiber Optic,1065.5,Yes,Yes
440,44,Female,30,72.39,Month-to-Month,Fiber Optic,2171.7,Yes,Yes
184,49,Male,31,66.17,One-Year,Fiber Optic,2051.27,Yes,No
348,50,Female,70,34.47,One-Year,,972.51,No,No
765,56,Male,7,56.47,Two-Year,Fiber Optic,395.29,No,Yes
77,48,Male,0,75.53,One-Year,Fiber Optic,2930.76,Yes,Yes
808,51,Male,20,62.83,Month-to-Month,Fiber Optic,868.75,Yes,Yes
654,43,Female,34,36.91,Month-to-Month,Fiber Optic,1854.02,Yes,Yes
795,43,Female,32,63.43,One-Year,DSL,1124.55,Yes,Yes
491,39,Male,44,68.35,Month-to-Month,Fiber Optic,3234.35,No,Yes
35,45,Female,8,97.52,One-Year,,3101.24,Yes,Yes
648,37,Female,52,104.39,One-Year,Fiber Optic,557.37,No,Yes
958,49,Female,34,59.12,One-Year,DSL,535.38,Yes,No
9136,30,Female,98,63.95,Two-Year,Fiber Optic,6267.1,Yes,No
615,48,Female,9,58.24,One-Year,DSL,747.18,Yes,Yes
714,47,Male,44,32.13,One-Year,DSL,207.36,Yes,Yes
663,58,Male,37,103.89,Month-to-Month,Fiber Optic,2698.24,Yes,Yes
33,44,Female,20,42.63,Month-to-Month,Fiber Optic,852.6,Yes,Yes
9194,63,Female,34,41.01,One-Year,DSL,1394.34,No,No
788,49,Female,17,97.24,Month-to-Month,DSL,1653.08,Yes,Yes
529,54,Female,69,82.49,Month-to-Month,DSL,574.24,No,Yes
858,49,Female,11,62.09,One-Year,DSL,682.99,No,Yes
776,49,Female,75,35.1,Two-Year,DSL,2639.93,Yes,Yes
817,34,Female,32,87.19,Month-to-Month,Fiber Optic,1464.15,No,Yes
998,51,Female,15,111.72,Month-to-Month,Fiber Optic,1675.8,Yes,Yes
618,52,Female,27,110.06,Month-to-Month,,844.87,No,No
303,43,Female,20,89.13,Two-Year,Fiber Optic,334.26,Yes,Yes
140,32,Male,9,65.03,Month-to-Month,,585.27,No,Yes
487,38,Male,79,30.97,One-Year,Fiber Optic,2446.63,Yes,No
522,40,Female,1,100.18,Month-to-Month,Fiber Optic,0.0,Yes,Yes
9091,44,Female,36,43.23,One-Year,DSL,1556.28,No,No
337,62,Male,22,102.51,Two-Year,,255.78,No,Yes
153,53,Male,18,55.79,Two-Year,Fiber Optic,1532.86,No,Yes
460,42,Female,62,48.97,Month-to-Month,DSL,108.63,No,Yes
737,47,Male,1,59.73,One-Year,,177.84,No,Yes
53,38,Female,18,58.24,Two-Year,Fiber Optic,1048.32,Yes,No
551,60,Male,1,88.87,Month-to-Month,,351.2,Yes,Yes
462,45,Female,44,60.79,One-Year,Fiber Optic,2674.76,Yes,No
240,53,Male,35,41.67,One-Year,DSL,1458.45,Yes,No
990,42,Female,21,86.46,Month-to-Month,Fiber Optic,332.43,Yes,Yes
18,48,Female,24,30.75,Two-Year,,738.0,No,Yes
946,48,Female,4,46.46,Month-to-Month,,184.83,No,Yes
9229,58,Female,90,40.65,One-Year,DSL,3658.5,Yes,No
369,45,Female,18,79.6,Two-Year,Fiber Optic,1432.8,No,Yes
50,51,Male,0,92.2,Month-to-Month,,987.14,Yes,Yes
9066,45,Male,39,29.4,Two-Year,DSL,1146.6,Yes,No
8,36,Female,9,46.14,Two-Year,,689.36,No,Yes
686,30,Female,66,84.16,Month-to-Month,DSL,1563.52,No,Yes
80,52,Female,45,32.86,Two-Year,Fiber Optic,649.18,Yes,Yes
714,45,Female,6,82.01,One-Year,,443.04,No,Yes
246,45,Male,22,50.39,Month-to-Month,,1653.08,Yes,Yes
700,63,Female,38,90.97,Month-to-Month,,165.2,Yes,Yes
326,32,Male,44,49.85,One-Year,,2193.4,No,Yes
9276,38,Female,83,43.23,Two-Year,,3588.09,Yes,No
566,38,Female,39,61.92,Month-to-Month,Fiber Optic,402.03,No,Yes
539,55,Female,10,71.32,One-Year,,713.1999999999999,No,Yes
865,38,Female,11,76.3,One-Year,DSL,839.3,No,Yes
507,39,Male,57,103.69,Two-Year,DSL,5910.33,Yes,Yes
780,48,Male,8,115.91,Month-to-Month,DSL,268.08,Yes,No
411,52,Female,2,96.52,One-Year,,193.04,No,Yes
81,42,Male,7,98.48,Month-to-Month,Fiber Optic,689.36,No,Yes
195,46,Male,6,37.61,Month-to-Month,DSL,225.66,Yes,Yes
781,43,Female,10,55.79,Month-to-Month,Fiber Optic,987.14,Yes,Yes
94,41,Male,23,90.02,Month-to-Month,,2070.46,No,Yes
138,48,Male,3,44.52,Month-to-Month,DSL,0.0,Yes,Yes
29,48,Male,3,40.68,Month-to-Month,,496.8,Yes,Yes
562,39,Female,27,113.62,Month-to-Month,,147.92,Yes,Yes
860,51,Male,20,31.16,Month-to-Month,DSL,623.2,No,Yes
136,38,Female,31,67.01,Month-to-Month,,949.46,No,Yes
812,35,Male,4,89.58,Month-to-Month,DSL,3816.6,Yes,Yes
292,40,Male,22,98.62,Month-to-Month,Fiber Optic,2169.6400000000003,Yes,Yes
197,36,Male,28,109.29,One-Year,Fiber Optic,3060.1200000000003,Yes,Yes
292,62,Male,0,51.32,One-Year,Fiber Optic,804.24,Yes,Yes
9013,65,Male,83,49.42,One-Year,DSL,4101.86,Yes,No
278,26,Male,5,79.33,Two-Year,,425.58,No,Yes
502,64,Male,19,39.29,One-Year,,746.51,No,Yes
347,53,Female,2,43.85,One-Year,DSL,409.08,Yes,Yes
760,52,Female,69,31.46,One-Year,Fiber Optic,2170.74,Yes,No
337,53,Female,57,49.91,Month-to-Month,,2584.45,No,Yes
933,30,Male,2,71.96,Month-to-Month,,143.92,No,Yes
161,44,Female,2,39.31,Month-to-Month,Fiber Optic,1132.37,Yes,Yes
88,45,Female,19,49.81,Month-to-Month,DSL,1086.41,Yes,Yes
595,55,Male,8,97.72,Month-to-Month,,781.76,No,Yes
245,41,Male,16,97.5,Two-Year,DSL,1449.42,No,Yes
806,41,Female,27,68.38,One-Year,,1846.26,No,Yes
595,40,Female,14,61.92,Two-Year,Fiber Optic,2258.16,Yes,Yes
790,51,Female,35,110.81,Two-Year,Fiber Optic,150.0,Yes,Yes
668,46,Female,44,50.93,Month-to-Month,Fiber Optic,304.8,Yes,Yes
590,59,Female,29,64.85,Month-to-Month,DSL,0.0,Yes,Yes
246,56,Female,78,64.61,Month-to-Month,Fiber Optic,236.97,Yes,Yes
898,46,Female,7,95.72,Two-Year,,670.04,No,Yes
9187,47,Male,52,32.73,One-Year,DSL,1701.96,Yes,No
840,50,Female,4,119.11,Two-Year,,3590.37,Yes,Yes
9161,35,Male,63,62.82,Two-Year,DSL,3957.66,Yes,No
606,63,Male,29,64.11,Month-to-Month,Fiber Optic,1859.19,Yes,Yes
802,43,Male,79,98.61,Month-to-Month,DSL,478.4,Yes,Yes
9231,37,Male,82,32.22,One-Year,DSL,2642.04,Yes,No
782,31,Male,2,54.83,Month-to-Month,Fiber Optic,109.66,Yes,Yes
686,30,Male,3,96.5,Month-to-Month,DSL,408.45,No,Yes
878,53,Male,0,54.97,Month-to-Month,,922.32,No,Yes
824,56,Male,9,102.76,Two-Year,Fiber Optic,1179.08,No,Yes
447,39,Male,50,109.49,Month-to-Month,Fiber Optic,1332.9,No,Yes
442,48,Male,33,75.5,Month-to-Month,,1439.5,No,Yes
103,41,Female,20,52.41,Month-to-Month,Fiber Optic,1048.1999999999998,Yes,Yes
500,34,Female,2,75.95,Month-to-Month,,0.0,No,Yes
611,51,Female,72,76.27,Two-Year,Fiber Optic,5491.44,Yes,No
276,44,Female,22,65.03,Month-to-Month,DSL,4390.0,Yes,Yes
9120,45,Female,65,32.97,Two-Year,DSL,2143.05,Yes,No
360,48,Female,9,92.8,Month-to-Month,DSL,685.84,No,Yes
528,62,Female,18,66.61,Two-Year,Fiber Optic,453.25,Yes,Yes
849,32,Male,34,102.6,One-Year,Fiber Optic,2142.0,No,Yes
257,52,Male,30,98.13,Month-to-Month,DSL,3590.37,No,Yes
9019,38,Male,28,50.26,One-Year,DSL,1407.28,No,No
239,38,Male,26,50.93,One-Year,DSL,1324.18,Yes,No
713,39,Male,22,91.17,Month-to-Month,Fiber Optic,2005.74,Yes,Yes
45,30,Male,27,110.02,Month-to-Month,,2970.54,No,Yes
677,33,Male,30,54.77,One-Year,,1643.1,No,Yes
300,51,Female,29,88.03,One-Year,Fiber Optic,2552.87,Yes,No
77,45,Female,23,53.82,Month-to-Month,Fiber Optic,1237.86,No,Yes
541,59,Female,0,46.8,One-Year,DSL,414.89,Yes,Yes
9191,69,Male,76,32.89,Two-Year,DSL,2499.64,Yes,No
520,44,Female,37,117.28,Month-to-Month,DSL,312.72,Yes,Yes
528,45,Female,5,59.54,Month-to-Month,,297.7,No,Yes
599,40,Female,3,95.83,Month-to-Month,Fiber Optic,287.49,Yes,Yes
424,54,Male,0,53.49,Two-Year,DSL,0.0,Yes,Yes
392,56,Male,0,55.92,Month-to-Month,Fiber Optic,0.0,No,Yes
481,31,Male,52,38.58,Month-to-Month,Fiber Optic,1470.9,No,Yes
167,53,Male,19,87.23,Two-Year,DSL,1657.37,No,Yes
450,34,Female,30,49.12,Month-to-Month,Fiber Optic,1473.6,No,Yes
814,39,Female,7,113.54,One-Year,Fiber Optic,679.2,No,Yes
424,44,Female,10,118.25,One-Year,Fiber Optic,146.78,Yes,Yes
34,52,Male,9,98.06,One-Year,DSL,1473.6,No,Yes
542,39,Female,68,60.72,Month-to-Month,,1704.0,No,No
538,44,Male,20,33.62,Month-to-Month,Fiber Optic,2722.56,Yes,Yes
135,42,Male,27,33.63,Month-to-Month,Fiber Optic,80.09,Yes,Yes
417,38,Male,29,117.64,Two-Year,,806.47,No,Yes
908,52,Male,39,116.71,One-Year,Fiber Optic,4551.69,Yes,Yes
709,45,Male,10,104.96,One-Year,DSL,1572.6,Yes,Yes
894,52,Male,16,69.85,Two-Year,Fiber Optic,425.58,Yes,Yes
649,47,Female,33,103.86,One-Year,,344.7,Yes,Yes
625,47,Male,1,65.29,Two-Year,Fiber Optic,12416.25,Yes,Yes
979,29,Female,36,84.16,Month-to-Month,Fiber Optic,3029.76,Yes,Yes
296,38,Female,32,45.79,Month-to-Month,Fiber Optic,1465.28,Yes,Yes
843,40,Female,5,55.05,Month-to-Month,DSL,466.14,Yes,Yes
799,45,Male,4,59.88,Month-to-Month,DSL,239.52,Yes,Yes
314,44,Female,2,35.12,One-Year,DSL,646.24,Yes,Yes
719,41,Female,19,87.74,Month-to-Month,Fiber Optic,1667.06,Yes,Yes
219,36,Female,4,105.36,One-Year,Fiber Optic,1332.9,Yes,Yes
885,49,Female,56,51.32,Month-to-Month,Fiber Optic,2722.56,Yes,Yes
777,37,Male,7,83.48,Month-to-Month,DSL,584.36,Yes,Yes
335,45,Female,0,67.73,Month-to-Month,,286.92,Yes,No
908,53,Female,16,59.54,One-Year,Fiber Optic,1048.2,Yes,Yes
447,42,Female,16,79.18,Month-to-Month,,177.84,Yes,Yes
9025,51,Female,85,29.95,Two-Year,,2545.75,Yes,No
655,70,Male,35,32.13,Month-to-Month,DSL,1124.5500000000002,No,Yes
443,24,Male,65,97.85,Month-to-Month,DSL,6360.25,Yes,Yes
276,36,Female,5,102.27,One-Year,DSL,233.61,Yes,No
230,51,Male,6,43.25,Month-to-Month,DSL,259.5,No,Yes
434,52,Female,13,83.57,Month-to-Month,,1086.41,No,Yes
751,47,Male,16,52.77,Month-to-Month,DSL,675.96,No,Yes
496,32,Female,18,70.86,Month-to-Month,DSL,737.6,No,Yes
44,45,Female,12,58.25,One-Year,Fiber Optic,2862.72,No,Yes
378,47,Male,36,101.8,Month-to-Month,DSL,836.97,No,Yes
403,45,Female,29,113.99,Month-to-Month,,3305.71,No,Yes
332,36,Female,23,108.36,One-Year,Fiber Optic,2492.28,Yes,Yes
671,57,Male,25,57.58,Two-Year,,1439.5,No,Yes
853,48,Male,15,36.03,Two-Year,Fiber Optic,1556.48,No,No
9032,58,Female,61,41.55,One-Year,DSL,2534.55,Yes,No
241,37,Male,26,53.08,Month-to-Month,DSL,1380.08,Yes,Yes
353,45,Male,2,114.04,One-Year,DSL,1237.86,Yes,Yes
689,54,Female,4,91.55,Month-to-Month,DSL,362.12,No,Yes
185,42,Female,6,43.83,Month-to-Month,,262.98,No,Yes
193,47,Male,17,32.86,One-Year,Fiber Optic,558.62,Yes,No
873,67,Male,14,37.83,One-Year,DSL,5723.0,Yes,Yes
555,48,Male,21,67.59,Two-Year,DSL,1419.39,Yes,No
879,44,Female,2,69.87,Month-to-Month,Fiber Optic,2748.6,No,Yes
271,46,Female,27,44.52,Month-to-Month,Fiber Optic,747.18,No,Yes
27,33,Female,18,98.99,One-Year,Fiber Optic,1781.82,Yes,No
522,33,Male,19,85.75,Month-to-Month,,1465.28,No,Yes
208,47,Female,9,39.29,One-Year,Fiber Optic,0.0,Yes,Yes
911,37,Female,30,32.51,Month-to-Month,Fiber Optic,778.58,Yes,No
964,33,Female,7,53.93,Month-to-Month,,107.82,Yes,Yes
145,47,Female,16,60.77,Two-Year,Fiber Optic,972.32,Yes,No
690,45,Male,6,104.42,Month-to-Month,Fiber Optic,345.25,Yes,Yes
153,38,Female,1,83.38,Month-to-Month,Fiber Optic,83.38,Yes,Yes
997,48,Male,36,117.6,Month-to-Month,DSL,2301.0,No,Yes
9082,43,Female,118,67.78,One-Year,DSL,7998.04,No,No
154,60,Female,6,66.18,One-Year,,2698.24,Yes,Yes
257,57,Female,33,82.26,Month-to-Month,,2714.5800000000004,No,Yes
9062,25,Male,24,32.8,Two-Year,DSL,787.2,Yes,No
8,24,Female,9,111.76,One-Year,,443.4,No,Yes
658,41,Female,4,101.33,Month-to-Month,,1317.29,Yes,Yes
280,41,Male,20,63.43,Month-to-Month,DSL,1268.6,No,Yes
9074,50,Female,116,63.02,Two-Year,Fiber Optic,7310.32,Yes,No
9184,54,Female,47,30.14,One-Year,DSL,1416.58,Yes,No
490,45,Male,6,35.0,Month-to-Month,Fiber Optic,146.78,No,Yes
179,42,Male,15,105.43,One-Year,DSL,1581.45,No,Yes
342,55,Female,8,55.79,Month-to-Month,Fiber Optic,1532.86,Yes,Yes
938,28,Male,2,72.8,Month-to-Month,Fiber Optic,207.62,No,Yes
862,52,Male,19,74.33,Month-to-Month,Fiber Optic,3879.42,Yes,Yes
573,28,Female,67,49.84,Month-to-Month,Fiber Optic,2930.76,No,Yes
667,46,Male,15,82.49,Month-to-Month,,1048.2,No,Yes
558,40,Female,50,114.46,Month-to-Month,,5723.0,No,Yes
907,39,Male,2,64.45,Two-Year,,288.8,Yes,Yes
15,27,Male,14,95.05,Month-to-Month,Fiber Optic,1330.7,Yes,Yes
9117,47,Male,66,35.81,One-Year,,2363.46,Yes,No
174,48,Female,15,45.28,Two-Year,Fiber Optic,679.2,No,Yes
724,55,Female,23,66.76,Month-to-Month,DSL,4089.6,No,Yes
658,44,Female,12,42.19,One-Year,Fiber Optic,506.28,Yes,No
9172,43,Female,53,62.65,Two-Year,Fiber Optic,3320.45,No,No
9287,63,Male,73,68.79,One-Year,DSL,5021.67,No,No
825,53,Male,0,110.85,Month-to-Month,,3816.6,Yes,Yes
943,51,Male,19,93.19,Month-to-Month,,1770.61,No,Yes
811,43,Female,25,116.88,Month-to-Month,Fiber Optic,2922.0,Yes,Yes
353,42,Female,63,39.29,Two-Year,,255.78,Yes,Yes
833,66,Female,1,115.91,Month-to-Month,Fiber Optic,402.0,Yes,Yes
299,53,Female,3,74.07,Month-to-Month,Fiber Optic,222.21,No,Yes
222,44,Female,20,110.61,One-Year,,461.88,No,Yes
64,33,Female,3,89.36,Month-to-Month,Fiber Optic,268.08,Yes,Yes
267,61,Female,1,35.13,Two-Year,DSL,35.13,Yes,Yes
394,63,Female,10,31.72,Two-Year,Fiber Optic,317.2,Yes,Yes
547,45,Male,3,65.29,Month-to-Month,Fiber Optic,357.61,No,No
9033,53,Male,82,33.39,Two-Year,,2737.98,No,No
177,52,Male,12,51.32,Month-to-Month,DSL,1574.72,Yes,Yes
871,45,Male,45,116.7,Month-to-Month,,375.15,Yes,Yes
165,38,Male,40,113.74,One-Year,Fiber Optic,1304.24,No,Yes
255,29,Female,8,102.34,Two-Year,DSL,818.72,Yes,Yes
631,55,Male,15,104.79,Two-Year,Fiber Optic,329.82,Yes,Yes
322,50,Female,6,106.06,Two-Year,DSL,636.36,Yes,Yes
950,47,Female,3,114.13,One-Year,Fiber Optic,342.39,Yes,Yes
499,40,Male,12,110.81,Month-to-Month,Fiber Optic,7416.88,No,No
125,50,Male,3,98.79,Month-to-Month,DSL,296.37,No,Yes
317,40,Male,19,51.04,Month-to-Month,,987.14,Yes,Yes
264,34,Female,13,71.36,Two-Year,Fiber Optic,927.68,No,Yes
680,57,Female,0,111.38,Month-to-Month,,0.0,No,Yes
870,65,Female,13,64.99,Two-Year,Fiber Optic,844.8699999999999,Yes,No
409,46,Male,29,115.24,Month-to-Month,,3341.96,No,Yes
171,45,Male,35,41.3,Two-Year,,112.02,No,Yes
839,54,Female,4,83.41,Two-Year,DSL,333.64,Yes,Yes
9327,32,Female,110,45.93,Two-Year,DSL,5052.3,Yes,No
9210,37,Male,57,25.96,Two-Year,Fiber Optic,1479.72,No,No
9330,54,Male,107,46.37,Two-Year,Fiber Optic,4961.59,Yes,No
89,39,Female,7,33.03,Two-Year,Fiber Optic,231.21,Yes,Yes
165,50,Female,4,31.88,Month-to-Month,,236.94,No,Yes
568,34,Female,17,52.98,Month-to-Month,Fiber Optic,900.66,Yes,Yes
433,42,Female,5,44.65,One-Year,DSL,223.25,No,Yes
439,27,Male,57,52.2,Month-to-Month,Fiber Optic,2975.4,Yes,Yes
315,45,Female,31,67.55,Month-to-Month,,3193.12,No,Yes
844,53,Male,2,102.89,One-Year,Fiber Optic,713.16,No,Yes
930,44,Male,44,95.72,Month-to-Month,Fiber Optic,4211.68,No,Yes
545,20,Male,9,77.84,Two-Year,Fiber Optic,700.5600000000001,No,Yes
121,52,Male,9,58.15,Month-to-Month,Fiber Optic,523.35,Yes,Yes
741,58,Female,25,50.88,One-Year,Fiber Optic,8027.4,No,Yes
382,46,Male,6,84.64,Two-Year,DSL,2973.12,Yes,Yes
569,55,Female,32,73.49,Month-to-Month,Fiber Optic,648.6,Yes,Yes
766,37,Female,1,48.93,Two-Year,Fiber Optic,48.93,Yes,Yes
240,51,Female,44,61.12,One-Year,,351.2,No,Yes
565,57,Female,40,103.32,One-Year,Fiber Optic,4132.799999999999,Yes,Yes
906,45,Male,13,47.66,Two-Year,Fiber Optic,619.5799999999999,Yes,No
9064,40,Male,90,36.15,One-Year,DSL,3253.5,Yes,No
862,49,Female,8,73.06,Two-Year,Fiber Optic,3653.51,No,Yes
834,47,Male,0,108.36,One-Year,Fiber Optic,101.22,No,Yes
110,44,Male,18,102.6,One-Year,,1846.8,No,Yes
414,41,Male,23,104.39,Two-Year,DSL,2496.24,No,Yes
9111,61,Male,70,43.92,Two-Year,Fiber Optic,3074.4,No,No
215,41,Female,1,60.18,Month-to-Month,DSL,60.18,Yes,Yes
835,38,Male,34,110.02,One-Year,Fiber Optic,1541.23,No,No
472,37,Female,20,47.41,Two-Year,Fiber Optic,242.97,No,Yes
600,48,Female,41,104.2,Month-to-Month,DSL,4272.2,No,Yes
215,62,Male,6,113.99,Month-to-Month,DSL,995.5,Yes,Yes
983,54,Male,24,75.53,Month-to-Month,,682.99,Yes,Yes
406,53,Male,2,90.58,Two-Year,,259.5,No,Yes
719,46,Female,6,37.31,Month-to-Month,Fiber Optic,2027.87,No,Yes
65,56,Male,1,110.61,Month-to-Month,Fiber Optic,730.7,No,Yes
160,34,Female,25,109.75,Two-Year,Fiber Optic,772.16,No,Yes
117,44,Female,25,64.01,Month-to-Month,Fiber Optic,71.16,No,Yes
780,63,Female,37,46.72,Month-to-Month,DSL,8419.58,Yes,Yes
689,34,Female,0,80.32,Month-to-Month,DSL,356.56,No,Yes
609,39,Female,1,117.72,Month-to-Month,DSL,2579.85,No,Yes
694,51,Female,39,108.36,One-Year,,4226.04,No,Yes
46,37,Male,1,82.09,Month-to-Month,,82.09,No,Yes
956,32,Female,6,33.62,Month-to-Month,Fiber Optic,2884.86,Yes,Yes
219,40,Male,19,106.73,One-Year,DSL,2027.87,Yes,Yes
186,30,Female,6,66.02,One-Year,DSL,1389.78,Yes,Yes
431,33,Female,1,35.56,Two-Year,DSL,35.56,Yes,Yes
904,45,Male,24,85.26,One-Year,,957.2,No,Yes
822,37,Female,5,118.96,Two-Year,,78.63,Yes,Yes
723,53,Female,7,35.63,Two-Year,DSL,402.03,Yes,Yes
9192,26,Female,85,48.35,One-Year,DSL,4109.75,No,No
333,45,Male,13,101.33,One-Year,Fiber Optic,1317.29,Yes,Yes
252,54,Female,10,73.61,One-Year,DSL,736.1,Yes,Yes
355,44,Male,4,99.25,Month-to-Month,,397.0,No,Yes
913,47,Male,11,37.74,Two-Year,Fiber Optic,415.14,Yes,Yes
965,52,Male,36,81.69,Two-Year,DSL,615.12,Yes,Yes
963,46,Male,9,61.93,Month-to-Month,,557.37,No,Yes
818,53,Female,1,38.09,One-Year,Fiber Optic,38.09,Yes,Yes
579,30,Female,30,33.77,Month-to-Month,Fiber Optic,1013.1,No,Yes
802,52,Male,6,37.34,Month-to-Month,DSL,315.09,No,Yes
458,34,Male,8,92.2,One-Year,,737.6,No,Yes
843,33,Male,14,89.86,One-Year,Fiber Optic,1258.04,Yes,No
774,51,Female,9,67.63,One-Year,Fiber Optic,379.19,No,Yes
389,45,Male,31,80.6,Month-to-Month,Fiber Optic,629.76,No,No
805,51,Female,5,96.8,Month-to-Month,DSL,774.36,No,Yes
214,24,Male,10,39.4,Two-Year,Fiber Optic,2621.76,No,Yes
803,36,Female,7,65.79,Two-Year,DSL,4533.92,Yes,Yes
858,44,Male,12,102.4,Two-Year,DSL,1657.37,Yes,Yes
921,83,Female,3,50.6,Two-Year,,1173.92,Yes,Yes
21,47,Male,24,72.39,Month-to-Month,,4073.76,No,Yes
954,24,Female,31,110.6,Two-Year,Fiber Optic,0.0,No,Yes
1,49,Male,4,88.35,Month-to-Month,Fiber Optic,353.4,Yes,Yes
643,42,Female,60,45.38,One-Year,DSL,2722.8,Yes,No
9,46,Male,7,40.36,Month-to-Month,Fiber Optic,255.69,Yes,Yes
9218,32,Female,94,69.6,One-Year,DSL,6542.4,No,No
953,32,Female,40,82.61,Month-to-Month,,3304.4,No,Yes
